# Tier1_sims (Up to date)
# 1243 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
#
# Time (s),Mass (lb),Motor mass (lb),Longitudinal moment of inertia (kg·m²)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
15.96,47.146,4.927,23.597
15.98,47.146,4.927,23.597
16,47.146,4.927,23.597
16.02,47.146,4.927,23.597
16.04,47.146,4.927,23.597
16.06,47.146,4.927,23.597
16.08,47.146,4.927,23.597
16.1,47.146,4.927,23.597
16.12,47.146,4.927,23.597
16.14,47.146,4.927,23.597
16.16,47.146,4.927,23.597
16.18,47.146,4.927,23.597
16.2,47.146,4.927,23.597
16.22,47.146,4.927,23.597
16.24,47.146,4.927,23.597
16.26,47.146,4.927,23.597
16.28,47.146,4.927,23.597
16.3,47.146,4.927,23.597
16.32,47.146,4.927,23.597
16.34,47.146,4.927,23.597
16.36,47.146,4.927,23.597
16.38,47.146,4.927,23.597
16.4,47.146,4.927,23.597
16.42,47.146,4.927,23.597
16.44,47.146,4.927,23.597
16.46,47.146,4.927,23.597
16.48,47.146,4.927,23.597
16.5,47.146,4.927,23.597
16.52,47.146,4.927,23.597
16.54,47.146,4.927,23.597
16.56,47.146,4.927,23.597
16.58,47.146,4.927,23.597
16.6,47.146,4.927,23.597
16.62,47.146,4.927,23.597
16.64,47.146,4.927,23.597
16.66,47.146,4.927,23.597
16.68,47.146,4.927,23.597
16.7,47.146,4.927,23.597
16.72,47.146,4.927,23.597
16.74,47.146,4.927,23.597
16.76,47.146,4.927,23.597
16.78,47.146,4.927,23.597
16.8,47.146,4.927,23.597
16.82,47.146,4.927,23.597
16.84,47.146,4.927,23.597
16.86,47.146,4.927,23.597
16.88,47.146,4.927,23.597
16.9,47.146,4.927,23.597
16.92,47.146,4.927,23.597
16.94,47.146,4.927,23.597
16.96,47.146,4.927,23.597
16.98,47.146,4.927,23.597
17,47.146,4.927,23.597
17.02,47.146,4.927,23.597
17.04,47.146,4.927,23.597
17.06,47.146,4.927,23.597
17.08,47.146,4.927,23.597
17.1,47.146,4.927,23.597
17.12,47.146,4.927,23.597
17.14,47.146,4.927,23.597
17.16,47.146,4.927,23.597
17.18,47.146,4.927,23.597
17.2,47.146,4.927,23.597
17.22,47.146,4.927,23.597
17.24,47.146,4.927,23.597
17.26,47.146,4.927,23.597
17.28,47.146,4.927,23.597
17.3,47.146,4.927,23.597
17.32,47.146,4.927,23.597
17.34,47.146,4.927,23.597
17.36,47.146,4.927,23.597
17.38,47.146,4.927,23.597
17.4,47.146,4.927,23.597
17.42,47.146,4.927,23.597
17.44,47.146,4.927,23.597
17.46,47.146,4.927,23.597
17.48,47.146,4.927,23.597
17.5,47.146,4.927,23.597
17.52,47.146,4.927,23.597
17.54,47.146,4.927,23.597
# Event APOGEE occurred at t=17.56 seconds
17.56,47.146,4.927,23.597
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=17.561 seconds
17.58,47.146,4.927,23.597
17.682,47.146,4.927,23.597
17.785,47.146,4.927,23.597
17.887,47.146,4.927,23.597
17.991,47.146,4.927,23.597
18.095,47.146,4.927,23.597
18.199,47.146,4.927,23.597
18.305,47.146,4.927,23.597
18.413,47.146,4.927,23.597
18.522,47.146,4.927,23.597
18.632,47.146,4.927,23.597
18.745,47.146,4.927,23.597
18.86,47.146,4.927,23.597
18.978,47.146,4.927,23.597
19.099,47.146,4.927,23.597
19.224,47.146,4.927,23.597
19.352,47.146,4.927,23.597
19.485,47.146,4.927,23.597
19.624,47.146,4.927,23.597
19.768,47.146,4.927,23.597
19.92,47.146,4.927,23.597
20.079,47.146,4.927,23.597
20.248,47.146,4.927,23.597
20.428,47.146,4.927,23.597
20.622,47.146,4.927,23.597
20.832,47.146,4.927,23.597
21.063,47.146,4.927,23.597
21.32,47.146,4.927,23.597
21.611,47.146,4.927,23.597
21.949,47.146,4.927,23.597
22.354,47.146,4.927,23.597
22.854,47.146,4.927,23.597
23.354,47.146,4.927,23.597
23.854,47.146,4.927,23.597
24.354,47.146,4.927,23.597
24.854,47.146,4.927,23.597
25.354,47.146,4.927,23.597
25.854,47.146,4.927,23.597
26.354,47.146,4.927,23.597
26.854,47.146,4.927,23.597
27.354,47.146,4.927,23.597
27.854,47.146,4.927,23.597
28.354,47.146,4.927,23.597
28.854,47.146,4.927,23.597
29.354,47.146,4.927,23.597
29.854,47.146,4.927,23.597
30.354,47.146,4.927,23.597
30.854,47.146,4.927,23.597
31.354,47.146,4.927,23.597
31.854,47.146,4.927,23.597
32.354,47.146,4.927,23.597
32.854,47.146,4.927,23.597
33.354,47.146,4.927,23.597
33.854,47.146,4.927,23.597
34.354,47.146,4.927,23.597
34.854,47.146,4.927,23.597
35.354,47.146,4.927,23.597
35.854,47.146,4.927,23.597
36.354,47.146,4.927,23.597
36.854,47.146,4.927,23.597
37.354,47.146,4.927,23.597
37.854,47.146,4.927,23.597
38.354,47.146,4.927,23.597
38.854,47.146,4.927,23.597
39.354,47.146,4.927,23.597
39.854,47.146,4.927,23.597
40.354,47.146,4.927,23.597
40.854,47.146,4.927,23.597
41.354,47.146,4.927,23.597
41.854,47.146,4.927,23.597
42.354,47.146,4.927,23.597
42.854,47.146,4.927,23.597
43.354,47.146,4.927,23.597
43.854,47.146,4.927,23.597
44.354,47.146,4.927,23.597
44.854,47.146,4.927,23.597
45.354,47.146,4.927,23.597
45.854,47.146,4.927,23.597
46.354,47.146,4.927,23.597
46.854,47.146,4.927,23.597
47.354,47.146,4.927,23.597
47.854,47.146,4.927,23.597
48.354,47.146,4.927,23.597
48.854,47.146,4.927,23.597
49.354,47.146,4.927,23.597
49.854,47.146,4.927,23.597
50.354,47.146,4.927,23.597
50.854,47.146,4.927,23.597
51.354,47.146,4.927,23.597
51.854,47.146,4.927,23.597
52.354,47.146,4.927,23.597
52.854,47.146,4.927,23.597
53.354,47.146,4.927,23.597
53.854,47.146,4.927,23.597
54.354,47.146,4.927,23.597
54.854,47.146,4.927,23.597
55.354,47.146,4.927,23.597
55.854,47.146,4.927,23.597
56.354,47.146,4.927,23.597
56.854,47.146,4.927,23.597
57.354,47.146,4.927,23.597
57.854,47.146,4.927,23.597
# Event SIM_WARN occurred at t=58.354 seconds: Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=58.354 seconds
58.354,47.146,4.927,23.597
58.393,47.146,4.927,23.597
58.436,47.146,4.927,23.597
58.482,47.146,4.927,23.597
58.534,47.146,4.927,23.597
58.592,47.146,4.927,23.597
58.656,47.146,4.927,23.597
58.729,47.146,4.927,23.597
58.813,47.146,4.927,23.597
58.91,47.146,4.927,23.597
59.026,47.146,4.927,23.597
59.167,47.146,4.927,23.597
59.345,47.146,4.927,23.597
59.582,47.146,4.927,23.597
59.931,47.146,4.927,23.597
60.431,47.146,4.927,23.597
60.909,47.146,4.927,23.597
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=60.91 seconds
60.91,47.146,4.927,23.597
60.919,47.146,4.927,23.597
60.93,47.146,4.927,23.597
60.942,47.146,4.927,23.597
60.956,47.146,4.927,23.597
60.973,47.146,4.927,23.597
60.993,47.146,4.927,23.597
61.018,47.146,4.927,23.597
61.049,47.146,4.927,23.597
61.091,47.146,4.927,23.597
61.15,47.146,4.927,23.597
61.242,47.146,4.927,23.597
61.425,47.146,4.927,23.597
61.665,47.146,4.927,23.597
61.917,47.146,4.927,23.597
62.168,47.146,4.927,23.597
62.42,47.146,4.927,23.597
62.672,47.146,4.927,23.597
62.923,47.146,4.927,23.597
63.175,47.146,4.927,23.597
63.426,47.146,4.927,23.597
63.678,47.146,4.927,23.597
63.93,47.146,4.927,23.597
64.181,47.146,4.927,23.597
64.433,47.146,4.927,23.597
64.684,47.146,4.927,23.597
64.936,47.146,4.927,23.597
65.187,47.146,4.927,23.597
65.438,47.146,4.927,23.597
65.69,47.146,4.927,23.597
65.941,47.146,4.927,23.597
66.193,47.146,4.927,23.597
66.444,47.146,4.927,23.597
66.695,47.146,4.927,23.597
66.947,47.146,4.927,23.597
67.198,47.146,4.927,23.597
67.449,47.146,4.927,23.597
67.701,47.146,4.927,23.597
67.952,47.146,4.927,23.597
68.203,47.146,4.927,23.597
68.455,47.146,4.927,23.597
68.706,47.146,4.927,23.597
68.957,47.146,4.927,23.597
69.208,47.146,4.927,23.597
69.46,47.146,4.927,23.597
69.711,47.146,4.927,23.597
69.962,47.146,4.927,23.597
70.213,47.146,4.927,23.597
70.464,47.146,4.927,23.597
70.715,47.146,4.927,23.597
70.966,47.146,4.927,23.597
71.218,47.146,4.927,23.597
71.469,47.146,4.927,23.597
71.72,47.146,4.927,23.597
71.971,47.146,4.927,23.597
72.222,47.146,4.927,23.597
72.473,47.146,4.927,23.597
72.724,47.146,4.927,23.597
72.975,47.146,4.927,23.597
73.226,47.146,4.927,23.597
73.477,47.146,4.927,23.597
73.728,47.146,4.927,23.597
73.979,47.146,4.927,23.597
74.23,47.146,4.927,23.597
74.481,47.146,4.927,23.597
74.731,47.146,4.927,23.597
74.982,47.146,4.927,23.597
75.233,47.146,4.927,23.597
75.484,47.146,4.927,23.597
75.735,47.146,4.927,23.597
75.986,47.146,4.927,23.597
76.237,47.146,4.927,23.597
76.487,47.146,4.927,23.597
76.738,47.146,4.927,23.597
76.989,47.146,4.927,23.597
77.24,47.146,4.927,23.597
77.49,47.146,4.927,23.597
77.741,47.146,4.927,23.597
77.992,47.146,4.927,23.597
78.242,47.146,4.927,23.597
78.493,47.146,4.927,23.597
78.744,47.146,4.927,23.597
78.994,47.146,4.927,23.597
79.245,47.146,4.927,23.597
79.496,47.146,4.927,23.597
79.746,47.146,4.927,23.597
79.997,47.146,4.927,23.597
80.248,47.146,4.927,23.597
80.498,47.146,4.927,23.597
80.749,47.146,4.927,23.597
80.999,47.146,4.927,23.597
81.25,47.146,4.927,23.597
81.5,47.146,4.927,23.597
81.751,47.146,4.927,23.597
82.001,47.146,4.927,23.597
82.252,47.146,4.927,23.597
82.502,47.146,4.927,23.597
82.752,47.146,4.927,23.597
83.003,47.146,4.927,23.597
83.253,47.146,4.927,23.597
83.504,47.146,4.927,23.597
83.754,47.146,4.927,23.597
84.004,47.146,4.927,23.597
84.255,47.146,4.927,23.597
84.505,47.146,4.927,23.597
84.755,47.146,4.927,23.597
85.006,47.146,4.927,23.597
85.256,47.146,4.927,23.597
85.506,47.146,4.927,23.597
85.756,47.146,4.927,23.597
86.007,47.146,4.927,23.597
86.257,47.146,4.927,23.597
86.507,47.146,4.927,23.597
86.757,47.146,4.927,23.597
87.007,47.146,4.927,23.597
87.258,47.146,4.927,23.597
87.508,47.146,4.927,23.597
87.758,47.146,4.927,23.597
88.008,47.146,4.927,23.597
88.258,47.146,4.927,23.597
88.508,47.146,4.927,23.597
88.758,47.146,4.927,23.597
89.008,47.146,4.927,23.597
89.258,47.146,4.927,23.597
89.509,47.146,4.927,23.597
89.759,47.146,4.927,23.597
90.009,47.146,4.927,23.597
90.259,47.146,4.927,23.597
90.509,47.146,4.927,23.597
90.758,47.146,4.927,23.597
91.008,47.146,4.927,23.597
91.258,47.146,4.927,23.597
91.508,47.146,4.927,23.597
91.758,47.146,4.927,23.597
92.008,47.146,4.927,23.597
92.258,47.146,4.927,23.597
92.508,47.146,4.927,23.597
92.758,47.146,4.927,23.597
93.007,47.146,4.927,23.597
93.257,47.146,4.927,23.597
93.507,47.146,4.927,23.597
93.757,47.146,4.927,23.597
94.007,47.146,4.927,23.597
94.256,47.146,4.927,23.597
94.506,47.146,4.927,23.597
94.756,47.146,4.927,23.597
95.006,47.146,4.927,23.597
95.255,47.146,4.927,23.597
95.505,47.146,4.927,23.597
95.755,47.146,4.927,23.597
96.004,47.146,4.927,23.597
96.254,47.146,4.927,23.597
96.504,47.146,4.927,23.597
96.753,47.146,4.927,23.597
97.003,47.146,4.927,23.597
97.252,47.146,4.927,23.597
97.502,47.146,4.927,23.597
97.752,47.146,4.927,23.597
98.001,47.146,4.927,23.597
98.251,47.146,4.927,23.597
98.5,47.146,4.927,23.597
98.75,47.146,4.927,23.597
98.999,47.146,4.927,23.597
99.249,47.146,4.927,23.597
99.498,47.146,4.927,23.597
99.748,47.146,4.927,23.597
99.997,47.146,4.927,23.597
100.246,47.146,4.927,23.597
100.496,47.146,4.927,23.597
100.745,47.146,4.927,23.597
100.995,47.146,4.927,23.597
101.244,47.146,4.927,23.597
101.493,47.146,4.927,23.597
101.743,47.146,4.927,23.597
101.992,47.146,4.927,23.597
# Event GROUND_HIT occurred at t=102.319 seconds
# Event SIMULATION_END occurred at t=102.319 seconds
102.319,47.146,4.927,23.597
