# Tier1_sims (Up to date)
# 1243 data points written for 11 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
#
# Time (s),Angle of attack (°),CP location (in),CG location (in),Stability margin calibers (​),Drag coefficient (​),Normal force coefficient (​),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
13.52,0.008,107.564,86.113,3.505,0.542,0.001,849.979,0.001,334.644,0.119
13.54,0.008,107.564,86.113,3.505,0.542,0.001,849.894,0.001,334.641,0.118
13.56,0.008,107.563,86.113,3.505,0.542,0.001,849.811,0.001,334.638,0.118
13.58,0.008,107.563,86.113,3.505,0.542,0.001,849.727,0.001,334.635,0.117
13.6,0.008,107.562,86.113,3.505,0.542,0.001,849.644,0.001,334.632,0.116
13.62,0.008,107.562,86.113,3.505,0.542,0.001,849.561,0.001,334.629,0.116
13.64,0.009,107.561,86.113,3.505,0.542,0.001,849.479,0.001,334.626,0.115
13.66,0.009,107.561,86.113,3.505,0.542,0.001,849.397,0.001,334.622,0.115
13.68,0.009,107.56,86.113,3.504,0.542,0.001,849.316,0.001,334.619,0.114
13.7,0.009,107.56,86.113,3.504,0.542,0.001,849.235,0.001,334.616,0.113
13.72,0.009,107.559,86.113,3.504,0.542,0.001,849.155,0.001,334.614,0.113
13.74,0.01,107.558,86.113,3.504,0.542,0.001,849.074,0.001,334.611,0.112
13.76,0.01,107.558,86.113,3.504,0.542,0.001,848.995,0.001,334.608,0.112
13.78,0.01,107.557,86.113,3.504,0.542,0.001,848.916,0.001,334.605,0.111
13.8,0.01,107.557,86.113,3.504,0.542,0.001,848.837,0.001,334.602,0.11
13.82,0.01,107.556,86.113,3.504,0.542,0.001,848.759,0.001,334.599,0.11
13.84,0.011,107.555,86.113,3.504,0.542,0.001,848.681,0.001,334.596,0.109
13.86,0.011,107.555,86.113,3.504,0.542,0.001,848.603,0.001,334.593,0.109
13.88,0.011,107.554,86.113,3.503,0.542,0.001,848.526,0.001,334.59,0.108
13.9,0.011,107.553,86.113,3.503,0.542,0.001,848.45,0.001,334.587,0.107
13.92,0.012,107.553,86.113,3.503,0.542,0.001,848.373,0.001,334.585,0.107
13.94,0.012,107.552,86.113,3.503,0.542,0.001,848.298,0.001,334.582,0.106
13.96,0.012,107.551,86.113,3.503,0.542,0.001,848.222,0.001,334.579,0.106
13.98,0.013,107.55,86.113,3.503,0.542,0.001,848.147,0.001,334.576,0.105
14,0.013,107.55,86.113,3.503,0.542,0.002,848.073,0.001,334.573,0.104
14.02,0.013,107.549,86.113,3.503,0.542,0.002,847.999,0.001,334.571,0.104
14.04,0.013,107.548,86.113,3.502,0.542,0.002,847.925,0.001,334.568,0.103
14.06,0.014,107.547,86.113,3.502,0.542,0.002,847.852,0.001,334.565,0.102
14.08,0.014,107.546,86.113,3.502,0.542,0.002,847.779,0.001,334.563,0.102
14.1,0.014,107.546,86.113,3.502,0.542,0.002,847.707,0.001,334.56,0.101
14.12,0.015,107.545,86.113,3.502,0.542,0.002,847.635,0.001,334.557,0.101
14.14,0.015,107.544,86.113,3.502,0.542,0.002,847.564,0.001,334.555,0.1
14.16,0.015,107.543,86.113,3.502,0.542,0.002,847.493,0.001,334.552,0.099
14.18,0.016,107.542,86.113,3.501,0.542,0.002,847.422,0.001,334.549,0.099
14.2,0.016,107.541,86.113,3.501,0.542,0.002,847.352,0.001,334.547,0.098
14.22,0.016,107.54,86.113,3.501,0.542,0.002,847.282,0.001,334.544,0.098
14.24,0.017,107.539,86.113,3.501,0.542,0.002,847.213,0.001,334.542,0.097
14.26,0.017,107.538,86.113,3.501,0.542,0.002,847.144,0.001,334.539,0.096
14.28,0.018,107.537,86.113,3.501,0.542,0.002,847.076,0.001,334.537,0.096
14.3,0.018,107.536,86.113,3.501,0.542,0.002,847.008,0.001,334.534,0.095
14.32,0.019,107.535,86.113,3.5,0.542,0.002,846.94,0.001,334.532,0.095
14.34,0.019,107.534,86.113,3.5,0.542,0.002,846.873,0.001,334.529,0.094
14.36,0.019,107.533,86.113,3.5,0.542,0.002,846.806,0.001,334.527,0.093
14.38,0.02,107.532,86.113,3.5,0.542,0.002,846.74,0.001,334.524,0.093
14.4,0.02,107.531,86.113,3.5,0.542,0.002,846.674,0.001,334.522,0.092
14.42,0.021,107.53,86.113,3.499,0.542,0.002,846.608,0.001,334.519,0.092
14.44,0.021,107.528,86.113,3.499,0.542,0.003,846.543,0.001,334.517,0.091
14.46,0.022,107.527,86.113,3.499,0.542,0.003,846.479,0.001,334.514,0.09
14.48,0.022,107.526,86.113,3.499,0.542,0.003,846.415,0.001,334.512,0.09
14.5,0.023,107.525,86.113,3.499,0.542,0.003,846.351,0.001,334.51,0.089
14.52,0.023,107.523,86.113,3.498,0.542,0.003,846.288,0.001,334.507,0.089
14.54,0.024,107.522,86.113,3.498,0.542,0.003,846.225,0.001,334.505,0.088
14.56,0.025,107.521,86.113,3.498,0.542,0.003,846.162,0.001,334.503,0.087
14.58,0.025,107.519,86.113,3.498,0.542,0.003,846.1,0.001,334.5,0.087
14.6,0.026,107.518,86.113,3.498,0.542,0.003,846.038,0.001,334.498,0.086
14.62,0.026,107.516,86.113,3.497,0.542,0.003,845.977,0.001,334.496,0.086
14.64,0.027,107.515,86.113,3.497,0.542,0.003,845.916,0.001,334.494,0.085
14.66,0.028,107.513,86.113,3.497,0.542,0.003,845.856,0.001,334.491,0.085
14.68,0.028,107.512,86.113,3.497,0.542,0.003,845.796,0.001,334.489,0.084
14.7,0.029,107.51,86.113,3.496,0.542,0.003,845.737,0.001,334.487,0.083
14.72,0.03,107.509,86.113,3.496,0.542,0.004,845.678,0.001,334.485,0.083
14.74,0.031,107.507,86.113,3.496,0.541,0.004,845.619,0.001,334.483,0.082
14.76,0.031,107.505,86.113,3.495,0.541,0.004,845.561,0.001,334.48,0.082
14.78,0.032,107.503,86.113,3.495,0.541,0.004,845.506,0.001,334.478,0.081
14.8,0.033,107.501,86.113,3.495,0.541,0.004,845.451,0.001,334.476,0.08
14.82,0.034,107.5,86.113,3.495,0.541,0.004,845.397,0.001,334.474,0.08
14.84,0.035,107.498,86.113,3.494,0.541,0.004,845.343,0.001,334.472,0.079
14.86,0.036,107.496,86.113,3.494,0.541,0.004,845.29,0.001,334.47,0.079
14.88,0.036,107.494,86.113,3.494,0.541,0.004,845.237,0.001,334.468,0.078
14.9,0.037,107.492,86.113,3.493,0.541,0.004,845.184,0.001,334.466,0.077
14.92,0.038,107.49,86.113,3.493,0.541,0.005,845.132,0.001,334.464,0.077
14.94,0.039,107.487,86.113,3.493,0.541,0.005,845.08,0.001,334.462,0.076
14.96,0.04,107.485,86.113,3.492,0.541,0.005,845.029,0.001,334.46,0.076
14.98,0.041,107.483,86.113,3.492,0.541,0.005,844.978,0.001,334.458,0.075
15,0.042,107.48,86.113,3.491,0.541,0.005,844.927,0.001,334.456,0.074
15.02,0.043,107.478,86.113,3.491,0.541,0.005,844.877,0.001,334.454,0.074
15.04,0.045,107.476,86.113,3.491,0.541,0.005,844.827,0.001,334.452,0.073
15.06,0.046,107.473,86.113,3.49,0.541,0.005,844.778,0.001,334.45,0.073
15.08,0.047,107.47,86.113,3.49,0.541,0.006,844.729,0.001,334.448,0.072
15.1,0.048,107.468,86.113,3.489,0.541,0.006,844.681,0.001,334.446,0.071
15.12,0.049,107.465,86.113,3.489,0.541,0.006,844.632,0.001,334.444,0.071
15.14,0.051,107.462,86.113,3.488,0.541,0.006,844.585,0.001,334.442,0.07
15.16,0.052,107.459,86.113,3.488,0.541,0.006,844.537,0.001,334.441,0.07
15.18,0.053,107.456,86.113,3.487,0.541,0.006,844.49,0.001,334.439,0.069
15.2,0.055,107.453,86.113,3.487,0.541,0.007,844.444,0.001,334.437,0.068
15.22,0.056,107.45,86.113,3.486,0.541,0.007,844.398,0.001,334.435,0.068
15.24,0.058,107.447,86.113,3.486,0.541,0.007,844.352,0.001,334.433,0.067
15.26,0.059,107.443,86.113,3.485,0.541,0.007,844.307,0.001,334.432,0.067
15.28,0.061,107.44,86.113,3.485,0.541,0.007,844.262,0.001,334.43,0.066
15.3,0.063,107.436,86.113,3.484,0.541,0.007,844.217,0.001,334.428,0.065
15.32,0.064,107.433,86.113,3.484,0.541,0.008,844.173,0.001,334.426,0.065
15.34,0.066,107.429,86.113,3.483,0.541,0.008,844.129,0.001,334.425,0.064
15.36,0.068,107.425,86.113,3.482,0.541,0.008,844.086,0.001,334.423,0.064
15.38,0.07,107.421,86.113,3.482,0.541,0.008,844.043,0.001,334.421,0.063
15.4,0.071,107.417,86.113,3.481,0.541,0.009,844,0.001,334.42,0.063
15.42,0.073,107.413,86.113,3.48,0.541,0.009,843.958,0.001,334.418,0.062
15.44,0.075,107.408,86.113,3.48,0.541,0.009,843.917,0.001,334.416,0.061
15.46,0.078,107.404,86.113,3.479,0.541,0.009,843.875,0.001,334.415,0.061
15.48,0.08,107.399,86.113,3.478,0.541,0.01,843.834,0.001,334.413,0.06
15.5,0.082,107.395,86.113,3.477,0.541,0.01,843.794,0.001,334.412,0.06
15.52,0.084,107.39,86.113,3.477,0.541,0.01,843.754,0.001,334.41,0.059
15.54,0.087,107.385,86.113,3.476,0.541,0.01,843.714,0.001,334.409,0.058
15.56,0.089,107.379,86.113,3.475,0.541,0.011,843.675,0.001,334.407,0.058
15.58,0.091,107.374,86.113,3.474,0.541,0.011,843.636,0.001,334.406,0.057
15.6,0.094,107.369,86.113,3.473,0.541,0.011,843.597,0.001,334.404,0.057
15.62,0.097,107.363,86.113,3.472,0.541,0.012,843.559,0.001,334.403,0.056
15.64,0.099,107.357,86.113,3.471,0.541,0.012,843.521,0.001,334.401,0.055
15.66,0.102,107.351,86.113,3.47,0.541,0.012,843.484,0.001,334.4,0.055
15.68,0.105,107.345,86.113,3.469,0.541,0.013,843.447,0.001,334.398,0.054
15.7,0.108,107.338,86.113,3.468,0.541,0.013,843.411,0.001,334.397,0.054
15.72,0.111,107.332,86.113,3.467,0.541,0.013,843.374,0.001,334.395,0.053
15.74,0.115,107.325,86.113,3.466,0.541,0.014,843.339,0.001,334.394,0.052
15.76,0.118,107.318,86.113,3.465,0.541,0.014,843.303,0.001,334.393,0.052
15.78,0.122,107.31,86.113,3.464,0.541,0.015,843.268,0.001,334.391,0.051
15.8,0.125,107.303,86.113,3.462,0.541,0.015,843.234,0.001,334.39,0.051
15.82,0.129,107.295,86.113,3.461,0.541,0.015,843.2,0.001,334.389,0.05
15.84,0.133,107.287,86.113,3.46,0.541,0.016,843.166,0.001,334.387,0.05
15.86,0.137,107.278,86.113,3.458,0.541,0.016,843.133,0.001,334.386,0.049
15.88,0.141,107.27,86.113,3.457,0.541,0.017,843.1,0.001,334.385,0.048
15.9,0.145,107.261,86.113,3.455,0.541,0.017,843.067,0.001,334.383,0.048
15.92,0.149,107.251,86.113,3.454,0.541,0.018,843.035,0.001,334.382,0.047
15.94,0.154,107.242,86.113,3.452,0.541,0.019,843.003,0.001,334.381,0.047
15.96,0.159,107.232,86.113,3.451,0.541,0.019,842.972,0.001,334.38,0.046
15.98,0.164,107.222,86.113,3.449,0.541,0.02,842.941,0.001,334.378,0.045
16,0.169,107.211,86.113,3.447,0.541,0.02,842.91,0.001,334.377,0.045
16.02,0.174,107.2,86.113,3.446,0.541,0.021,842.88,0.001,334.376,0.044
16.04,0.18,107.189,86.113,3.444,0.541,0.022,842.851,0.001,334.375,0.044
16.06,0.185,107.177,86.113,3.442,0.541,0.022,842.821,0.001,334.374,0.043
16.08,0.191,107.164,86.113,3.44,0.542,0.023,842.792,0.001,334.373,0.042
16.1,0.197,107.152,86.113,3.438,0.543,0.024,842.764,0.001,334.372,0.042
16.12,0.204,107.139,86.113,3.436,0.544,0.025,842.736,0.001,334.37,0.041
16.14,0.21,107.125,86.113,3.433,0.545,0.025,842.708,0.001,334.369,0.041
16.16,0.217,107.111,86.113,3.431,0.545,0.026,842.68,0.001,334.368,0.04
16.18,0.224,107.096,86.113,3.429,0.546,0.027,842.654,0.001,334.367,0.04
16.2,0.232,107.081,86.113,3.426,0.548,0.028,842.627,0.001,334.366,0.039
16.22,0.239,107.065,86.113,3.423,0.549,0.029,842.601,0.001,334.365,0.038
16.24,0.247,107.048,86.113,3.421,0.55,0.03,842.575,0.001,334.364,0.038
16.26,0.256,107.031,86.113,3.418,0.551,0.031,842.55,0.001,334.363,0.037
16.28,0.264,107.013,86.113,3.415,0.552,0.032,842.525,0.001,334.362,0.037
16.3,0.273,106.995,86.113,3.412,0.553,0.033,842.5,0.001,334.361,0.036
16.32,0.283,106.975,86.113,3.409,0.554,0.034,842.476,0.001,334.36,0.035
16.34,0.293,106.955,86.113,3.406,0.555,0.036,842.452,0.001,334.359,0.035
16.36,0.303,106.934,86.113,3.402,0.556,0.037,842.429,0.001,334.359,0.034
16.38,0.314,106.913,86.113,3.399,0.558,0.038,842.406,0.001,334.358,0.034
16.4,0.325,106.89,86.113,3.395,0.559,0.04,842.383,0.001,334.357,0.033
16.42,0.337,106.866,86.113,3.391,0.56,0.041,842.361,0.001,334.356,0.032
16.44,0.349,106.841,86.113,3.387,0.562,0.043,842.339,0.001,334.355,0.032
16.46,0.362,106.816,86.113,3.383,0.563,0.044,842.318,0.001,334.354,0.031
16.48,0.375,106.789,86.113,3.378,0.564,0.046,842.297,0.001,334.353,0.031
16.5,0.389,106.761,86.113,3.374,0.566,0.048,842.276,0.001,334.353,0.03
16.52,0.404,106.731,86.113,3.369,0.567,0.05,842.256,0.001,334.352,0.03
16.54,0.419,106.7,86.113,3.364,0.569,0.052,842.236,0.001,334.351,0.029
16.56,0.435,106.668,86.113,3.359,0.57,0.054,842.217,0.001,334.35,0.028
16.58,0.452,106.635,86.113,3.353,0.572,0.056,842.198,0.001,334.35,0.028
16.6,0.47,106.599,86.113,3.347,0.573,0.058,842.179,0.001,334.349,0.027
16.62,0.489,106.562,86.113,3.341,0.575,0.061,842.161,0.001,334.348,0.027
16.64,0.509,106.523,86.113,3.335,0.577,0.063,842.143,0.001,334.347,0.026
16.66,0.529,106.483,86.113,3.328,0.578,0.066,842.126,0.001,334.347,0.025
16.68,0.551,106.44,86.113,3.321,0.58,0.069,842.109,0.001,334.346,0.025
16.7,0.575,106.395,86.113,3.314,0.582,0.072,842.092,0.001,334.345,0.024
16.72,0.599,106.348,86.113,3.306,0.584,0.075,842.076,0.001,334.345,0.024
16.74,0.625,106.298,86.113,3.298,0.586,0.078,842.06,0.001,334.344,0.023
16.76,0.652,106.245,86.113,3.29,0.588,0.082,842.045,0.001,334.344,0.023
16.78,0.681,106.19,86.113,3.28,0.59,0.086,842.03,0.001,334.343,0.022
16.8,0.712,106.131,86.113,3.271,0.592,0.09,842.015,0.001,334.342,0.021
16.82,0.745,106.069,86.113,3.261,0.595,0.094,842.001,0.001,334.342,0.021
16.84,0.78,106.003,86.113,3.25,0.597,0.099,841.987,0.001,334.341,0.02
16.86,0.817,105.934,86.113,3.239,0.599,0.104,841.974,0.001,334.341,0.02
16.88,0.857,105.86,86.113,3.227,0.602,0.11,841.96,0.001,334.34,0.019
16.9,0.899,105.782,86.113,3.214,0.605,0.115,841.948,0.001,334.34,0.018
16.92,0.945,105.698,86.113,3.2,0.607,0.122,841.936,0.001,334.339,0.018
16.94,0.994,105.61,86.113,3.186,0.61,0.128,841.924,0.001,334.339,0.017
16.96,1.046,105.515,86.113,3.17,0.613,0.136,841.912,0.001,334.338,0.017
16.98,1.103,105.414,86.113,3.154,0.616,0.144,841.901,0.001,334.338,0.016
17,1.164,105.305,86.113,3.136,0.62,0.153,841.89,0.001,334.338,0.015
17.02,1.23,105.189,86.113,3.117,0.623,0.162,841.88,0.001,334.337,0.015
17.04,1.303,105.064,86.113,3.097,0.627,0.173,841.87,0.001,334.337,0.014
17.06,1.381,104.93,86.113,3.075,0.63,0.184,841.861,0.001,334.336,0.014
17.08,1.467,104.784,86.113,3.051,0.634,0.197,841.852,0.001,334.336,0.013
17.1,1.562,104.627,86.113,3.025,0.639,0.211,841.843,0.001,334.336,0.013
17.12,1.666,104.457,86.113,2.997,0.643,0.227,841.835,0.001,334.335,0.012
17.14,1.781,104.271,86.113,2.967,0.648,0.245,841.827,0.001,334.335,0.011
17.16,1.909,104.068,86.113,2.934,0.653,0.265,841.819,0.001,334.335,0.011
17.18,2.052,103.846,86.113,2.898,0.659,0.288,841.812,0.001,334.335,0.01
17.2,2.213,103.602,86.113,2.858,0.665,0.314,841.806,0.001,334.334,0.01
17.22,2.396,103.332,86.113,2.814,0.671,0.344,841.799,0.001,334.334,0.009
17.24,2.604,103.033,86.113,2.765,0.678,0.38,841.793,0.001,334.334,0.008
17.26,2.844,102.7,86.113,2.71,0.686,0.422,841.788,0.001,334.334,0.008
17.28,3.123,102.326,86.113,2.649,0.695,0.472,841.783,0.001,334.333,0.007
17.3,3.452,101.904,86.113,2.58,0.704,0.534,841.778,0.001,334.333,0.007
17.32,3.844,101.426,86.113,2.502,0.715,0.61,841.774,0.001,334.333,0.006
17.34,4.319,100.877,86.113,2.412,0.727,0.707,841.77,0.001,334.333,0.006
17.36,4.908,100.244,86.113,2.309,0.74,0.833,841.766,0.001,334.333,0.005
17.38,5.655,99.505,86.113,2.188,0.757,1.003,841.763,0.001,334.333,0.004
17.4,6.632,98.633,86.113,2.046,0.776,1.242,841.76,0.001,334.333,0.004
17.42,7.965,97.591,86.113,1.875,0.799,1.6,841.758,0.001,334.332,0.003
17.44,9.885,96.328,86.113,1.669,0.829,2.177,841.756,0.001,334.332,0.003
17.46,12.88,94.78,86.113,1.416,0.869,3.219,841.754,0.001,334.332,0.002
17.48,18.153,92.873,86.113,1.105,0.927,5.452,841.753,0.001,334.332,0.001
17.5,29.5,90.637,86.113,0.739,1.02,10.918,841.753,0.001,334.332,0.001
17.52,62.308,113.043,86.113,4.4,1.167,3.455,841.752,0.001,334.332,0.001
17.54,124.184,128.666,86.113,6.953,1.143,3.339,841.752,0.001,334.332,0.001
# Event APOGEE occurred at t=17.56 seconds
17.56,151.55,137.728,86.113,8.434,1.002,2.637,841.753,0.001,334.332,0.001
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=17.561 seconds
17.58,NaN,0,86.113,-14.071,17.839,NaN,841.753,0.001,334.332,0.002
17.682,NaN,0,86.113,-14.071,17.839,NaN,841.764,0.001,334.333,0.005
17.785,NaN,0,86.113,-14.071,17.839,NaN,841.785,0.001,334.333,0.008
17.887,NaN,0,86.113,-14.071,17.839,NaN,841.816,0.001,334.335,0.01
17.991,NaN,0,86.113,-14.071,17.839,NaN,841.858,0.001,334.336,0.013
18.095,NaN,0,86.113,-14.071,17.839,NaN,841.91,0.001,334.338,0.016
18.199,NaN,0,86.113,-14.071,17.839,NaN,841.974,0.001,334.341,0.019
18.305,NaN,0,86.113,-14.071,17.839,NaN,842.049,0.001,334.344,0.022
18.413,NaN,0,86.113,-14.071,17.839,NaN,842.136,0.001,334.347,0.025
18.522,NaN,0,86.113,-14.071,17.839,NaN,842.236,0.001,334.351,0.028
18.632,NaN,0,86.113,-14.071,17.839,NaN,842.348,0.001,334.355,0.031
18.745,NaN,0,86.113,-14.071,17.839,NaN,842.473,0.001,334.36,0.034
18.86,NaN,0,86.113,-14.071,17.839,NaN,842.613,0.001,334.366,0.037
18.978,NaN,0,86.113,-14.071,17.839,NaN,842.768,0.001,334.372,0.04
19.099,NaN,0,86.113,-14.071,17.839,NaN,842.94,0.001,334.378,0.043
19.224,NaN,0,86.113,-14.071,17.839,NaN,843.129,0.001,334.386,0.046
19.352,NaN,0,86.113,-14.071,17.839,NaN,843.337,0.001,334.394,0.049
19.485,NaN,0,86.113,-14.071,17.839,NaN,843.566,0.001,334.403,0.052
19.624,NaN,0,86.113,-14.071,17.839,NaN,843.819,0.001,334.413,0.055
19.768,NaN,0,86.113,-14.071,17.839,NaN,844.096,0.001,334.423,0.058
19.92,NaN,0,86.113,-14.071,17.839,NaN,844.403,0.001,334.435,0.061
20.079,NaN,0,86.113,-14.071,17.839,NaN,844.742,0.001,334.449,0.064
20.248,NaN,0,86.113,-14.071,17.839,NaN,845.118,0.001,334.463,0.067
20.428,NaN,0,86.113,-14.071,17.839,NaN,845.538,0.001,334.48,0.07
20.622,NaN,0,86.113,-14.071,17.839,NaN,846.032,0.001,334.498,0.073
20.832,NaN,0,86.113,-14.071,17.839,NaN,846.591,0.001,334.519,0.076
21.063,NaN,0,86.113,-14.071,17.839,NaN,847.229,0.001,334.542,0.079
21.32,NaN,0,86.113,-14.071,17.839,NaN,847.967,0.001,334.57,0.082
21.611,NaN,0,86.113,-14.071,17.839,NaN,848.834,0.001,334.602,0.085
21.949,NaN,0,86.113,-14.071,17.839,NaN,849.876,0.001,334.64,0.088
22.354,NaN,0,86.113,-14.071,17.839,NaN,851.17,0.001,334.688,0.091
22.854,NaN,0,86.113,-14.071,17.839,NaN,852.818,0.001,334.749,0.094
23.354,NaN,0,86.113,-14.071,17.839,NaN,854.511,0.001,334.812,0.096
23.854,NaN,0,86.113,-14.071,17.839,NaN,856.237,0.001,334.876,0.098
24.354,NaN,0,86.113,-14.071,17.839,NaN,857.987,0.001,334.941,0.099
24.854,NaN,0,86.113,-14.071,17.839,NaN,859.753,0.001,335.006,0.1
25.354,NaN,0,86.113,-14.071,17.839,NaN,861.531,0.001,335.072,0.1
25.854,NaN,0,86.113,-14.071,17.839,NaN,863.316,0.001,335.138,0.1
26.354,NaN,0,86.113,-14.071,17.839,NaN,865.107,0.001,335.204,0.101
26.854,NaN,0,86.113,-14.071,17.839,NaN,866.901,0.001,335.271,0.101
27.354,NaN,0,86.113,-14.071,17.839,NaN,868.697,0.001,335.337,0.101
27.854,NaN,0,86.113,-14.071,17.839,NaN,870.494,0.001,335.404,0.101
28.354,NaN,0,86.113,-14.071,17.839,NaN,872.291,0.001,335.47,0.101
28.854,NaN,0,86.113,-14.071,17.839,NaN,874.088,0.001,335.537,0.101
29.354,NaN,0,86.113,-14.071,17.839,NaN,875.884,0.001,335.603,0.101
29.854,NaN,0,86.113,-14.071,17.839,NaN,877.679,0.001,335.67,0.101
30.354,NaN,0,86.113,-14.071,17.839,NaN,879.473,0.001,335.736,0.1
30.854,NaN,0,86.113,-14.071,17.839,NaN,881.266,0.001,335.803,0.1
31.354,NaN,0,86.113,-14.071,17.839,NaN,883.058,0.001,335.869,0.1
31.854,NaN,0,86.113,-14.071,17.839,NaN,884.849,0.001,335.935,0.1
32.354,NaN,0,86.113,-14.071,17.839,NaN,886.638,0.001,336.002,0.1
32.854,NaN,0,86.113,-14.071,17.839,NaN,888.426,0.001,336.068,0.1
33.354,NaN,0,86.113,-14.071,17.839,NaN,890.212,0.001,336.134,0.1
33.854,NaN,0,86.113,-14.071,17.839,NaN,891.997,0.001,336.2,0.1
34.354,NaN,0,86.113,-14.071,17.839,NaN,893.78,0.001,336.266,0.1
34.854,NaN,0,86.113,-14.071,17.839,NaN,895.562,0.001,336.332,0.1
35.354,NaN,0,86.113,-14.071,17.839,NaN,897.343,0.001,336.398,0.099
35.854,NaN,0,86.113,-14.071,17.839,NaN,899.141,0.001,336.464,0.099
36.354,NaN,0,86.113,-14.071,17.839,NaN,901.008,0.001,336.53,0.099
36.854,NaN,0,86.113,-14.071,17.839,NaN,902.874,0.001,336.595,0.099
37.354,NaN,0,86.113,-14.071,17.839,NaN,904.738,0.001,336.661,0.099
37.854,NaN,0,86.113,-14.071,17.839,NaN,906.601,0.001,336.727,0.099
38.354,NaN,0,86.113,-14.071,17.839,NaN,908.462,0.001,336.792,0.099
38.854,NaN,0,86.113,-14.071,17.839,NaN,910.322,0.001,336.858,0.099
39.354,NaN,0,86.113,-14.071,17.839,NaN,912.18,0.001,336.924,0.099
39.854,NaN,0,86.113,-14.071,17.839,NaN,914.036,0.001,336.989,0.099
40.354,NaN,0,86.113,-14.071,17.839,NaN,915.891,0.001,337.054,0.098
40.854,NaN,0,86.113,-14.071,17.839,NaN,917.744,0.001,337.12,0.098
41.354,NaN,0,86.113,-14.071,17.839,NaN,919.596,0.001,337.185,0.098
41.854,NaN,0,86.113,-14.071,17.839,NaN,921.447,0.001,337.25,0.098
42.354,NaN,0,86.113,-14.071,17.839,NaN,923.295,0.001,337.315,0.098
42.854,NaN,0,86.113,-14.071,17.839,NaN,925.143,0.001,337.381,0.098
43.354,NaN,0,86.113,-14.071,17.839,NaN,926.989,0.001,337.446,0.098
43.854,NaN,0,86.113,-14.071,17.839,NaN,928.833,0.001,337.511,0.098
44.354,NaN,0,86.113,-14.071,17.839,NaN,930.676,0.001,337.576,0.098
44.854,NaN,0,86.113,-14.071,17.839,NaN,932.517,0.001,337.641,0.098
45.354,NaN,0,86.113,-14.071,17.839,NaN,934.357,0.001,337.705,0.097
45.854,NaN,0,86.113,-14.071,17.839,NaN,936.195,0.001,337.77,0.097
46.354,NaN,0,86.113,-14.071,17.839,NaN,938.032,0.001,337.835,0.097
46.854,NaN,0,86.113,-14.071,17.839,NaN,939.868,0.001,337.9,0.097
47.354,NaN,0,86.113,-14.071,17.839,NaN,941.702,0.001,337.964,0.097
47.854,NaN,0,86.113,-14.071,17.839,NaN,943.534,0.001,338.029,0.097
48.354,NaN,0,86.113,-14.071,17.839,NaN,945.365,0.001,338.094,0.097
48.854,NaN,0,86.113,-14.071,17.839,NaN,947.195,0.001,338.158,0.097
49.354,NaN,0,86.113,-14.071,17.839,NaN,949.023,0.001,338.222,0.097
49.854,NaN,0,86.113,-14.071,17.839,NaN,950.85,0.001,338.287,0.097
50.354,NaN,0,86.113,-14.071,17.839,NaN,952.675,0.001,338.351,0.097
50.854,NaN,0,86.113,-14.071,17.839,NaN,954.499,0.001,338.416,0.096
51.354,NaN,0,86.113,-14.071,17.839,NaN,956.407,0.001,338.48,0.096
51.854,NaN,0,86.113,-14.071,17.839,NaN,958.318,0.001,338.544,0.096
52.354,NaN,0,86.113,-14.071,17.839,NaN,960.229,0.001,338.608,0.096
52.854,NaN,0,86.113,-14.071,17.839,NaN,962.137,0.001,338.672,0.096
53.354,NaN,0,86.113,-14.071,17.839,NaN,964.044,0.001,338.736,0.096
53.854,NaN,0,86.113,-14.071,17.839,NaN,965.95,0.001,338.8,0.096
54.354,NaN,0,86.113,-14.071,17.839,NaN,967.854,0.001,338.864,0.096
54.854,NaN,0,86.113,-14.071,17.839,NaN,969.756,0.001,338.928,0.096
55.354,NaN,0,86.113,-14.071,17.839,NaN,971.657,0.001,338.992,0.096
55.854,NaN,0,86.113,-14.071,17.839,NaN,973.557,0.001,339.056,0.095
56.354,NaN,0,86.113,-14.071,17.839,NaN,975.455,0.001,339.12,0.095
56.854,NaN,0,86.113,-14.071,17.839,NaN,977.351,0.001,339.183,0.095
57.354,NaN,0,86.113,-14.071,17.839,NaN,979.246,0.001,339.247,0.095
57.854,NaN,0,86.113,-14.071,17.839,NaN,981.14,0.001,339.31,0.095
# Event SIM_WARN occurred at t=58.354 seconds: Recovery device deployment at high speed (32.3 m/s):  "Pilot Parachute"
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=58.354 seconds
58.354,NaN,0,86.113,-14.071,64.206,NaN,983.032,0.001,339.374,0.095
58.393,NaN,0,86.113,-14.071,64.206,NaN,983.177,0.001,339.379,0.092
58.436,NaN,0,86.113,-14.071,64.206,NaN,983.331,0.001,339.384,0.089
58.482,NaN,0,86.113,-14.071,64.206,NaN,983.494,0.001,339.39,0.086
58.534,NaN,0,86.113,-14.071,64.206,NaN,983.668,0.001,339.395,0.083
58.592,NaN,0,86.113,-14.071,64.206,NaN,983.855,0.001,339.402,0.08
58.656,NaN,0,86.113,-14.071,64.206,NaN,984.057,0.001,339.408,0.077
