# Tier1_sims (Up to date)
# 920 data points written for 2 variables.
#
# CP location (in),Mach number (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
107.345,0.376
107.343,0.375
107.349,0.374
107.359,0.373
107.365,0.372
107.375,0.372
107.378,0.371
107.373,0.37
107.372,0.369
107.405,0.368
107.44,0.367
107.46,0.367
107.465,0.366
107.472,0.365
107.504,0.364
107.538,0.363
107.592,0.363
107.664,0.362
107.692,0.361
107.653,0.36
107.614,0.359
107.569,0.359
107.517,0.358
107.467,0.357
107.466,0.356
107.467,0.355
107.472,0.355
107.482,0.354
107.493,0.353
107.481,0.352
107.471,0.351
107.461,0.351
107.452,0.35
107.445,0.349
107.448,0.348
107.454,0.347
107.499,0.347
107.584,0.346
107.671,0.345
107.656,0.344
107.641,0.344
107.631,0.343
107.624,0.342
107.619,0.341
107.568,0.341
107.518,0.34
107.495,0.339
107.498,0.338
107.504,0.337
107.533,0.337
107.565,0.336
107.567,0.335
107.542,0.334
107.519,0.333
107.491,0.333
107.465,0.332
107.459,0.331
107.472,0.33
107.486,0.33
107.542,0.329
107.599,0.328
107.644,0.327
107.678,0.327
107.662,0.326
107.594,0.325
107.527,0.324
107.499,0.324
107.508,0.323
107.519,0.322
107.512,0.321
107.506,0.32
107.491,0.32
107.467,0.319
107.445,0.318
107.387,0.317
107.332,0.317
107.275,0.316
107.218,0.315
107.164,0.315
107.224,0.314
107.287,0.313
107.34,0.312
107.384,0.311
107.43,0.311
107.361,0.31
107.294,0.309
107.296,0.309
107.366,0.308
107.438,0.307
107.421,0.306
107.405,0.306
107.399,0.305
107.405,0.304
107.411,0.303
107.503,0.303
107.597,0.302
107.656,0.301
107.657,0.3
107.632,0.3
107.631,0.299
107.629,0.298
107.608,0.298
107.567,0.297
107.527,0.296
107.454,0.295
107.384,0.295
107.36,0.294
107.383,0.293
107.408,0.292
107.408,0.292
107.41,0.291
107.388,0.29
107.341,0.29
107.297,0.289
107.327,0.288
107.36,0.287
107.359,0.287
107.324,0.286
107.292,0.285
107.362,0.285
107.434,0.284
107.507,0.283
107.581,0.283
107.655,0.282
107.651,0.281
107.646,0.28
107.653,0.28
107.628,0.279
107.604,0.278
107.612,0.278
107.621,0.277
107.649,0.276
107.608,0.275
107.561,0.275
107.51,0.274
107.459,0.273
107.421,0.273
107.394,0.272
107.368,0.271
107.393,0.271
107.419,0.27
107.386,0.269
107.295,0.269
107.207,0.268
107.204,0.267
107.203,0.267
107.221,0.266
107.259,0.265
107.298,0.264
107.321,0.264
107.345,0.263
107.37,0.262
107.395,0.262
107.42,0.261
107.41,0.26
107.4,0.26
107.349,0.259
107.258,0.258
107.168,0.258
107.229,0.257
107.292,0.256
107.345,0.256
107.388,0.255
107.432,0.254
107.408,0.253
107.385,0.253
107.408,0.252
107.477,0.251
107.547,0.251
107.592,0.25
107.634,0.249
107.622,0.249
107.626,0.248
107.603,0.247
107.59,0.247
107.514,0.246
107.436,0.245
107.355,0.245
107.277,0.244
107.3,0.243
107.326,0.243
107.354,0.242
107.386,0.241
107.419,0.241
107.454,0.24
107.49,0.239
107.51,0.239
107.513,0.238
107.518,0.237
107.545,0.237
107.572,0.236
107.577,0.235
107.557,0.235
107.539,0.234
107.521,0.233
107.505,0.233
107.505,0.232
107.523,0.231
107.542,0.231
107.609,0.23
107.508,0.23
107.487,0.229
107.546,0.228
107.605,0.228
107.571,0.227
107.537,0.226
107.497,0.226
107.452,0.225
107.408,0.224
107.349,0.224
107.29,0.223
107.246,0.222
107.217,0.222
107.189,0.221
107.28,0.221
107.374,0.22
107.352,0.219
107.217,0.219
107.084,0.218
107.077,0.217
107.072,0.217
107.145,0.216
107.297,0.215
107.452,0.215
107.386,0.214
107.321,0.213
107.29,0.213
107.293,0.212
107.297,0.212
107.225,0.211
107.154,0.21
107.152,0.21
107.22,0.209
107.289,0.208
107.392,0.208
107.497,0.207
107.519,0.206
107.459,0.206
107.398,0.205
107.486,0.204
107.574,0.204
107.605,0.203
107.579,0.203
107.553,0.202
107.547,0.201
107.425,0.201
107.418,0.2
107.527,0.199
107.582,0.199
107.463,0.198
107.345,0.198
107.311,0.197
107.362,0.196
107.412,0.196
107.325,0.195
107.239,0.195
107.174,0.194
107.13,0.193
107.087,0.193
107.126,0.192
107.166,0.192
107.182,0.191
107.176,0.19
107.17,0.19
107.27,0.189
107.371,0.188
107.477,0.188
107.588,0.187
107.511,0.186
107.466,0.186
107.422,0.185
107.413,0.184
107.44,0.184
107.468,0.183
107.48,0.183
107.494,0.182
107.438,0.181
107.313,0.181
107.19,0.18
107.326,0.179
107.465,0.179
107.542,0.178
107.556,0.178
107.57,0.177
107.531,0.177
107.493,0.176
107.554,0.175
107.485,0.175
107.325,0.174
107.306,0.174
107.287,0.173
107.266,0.172
107.241,0.172
107.217,0.171
107.228,0.171
107.238,0.17
107.228,0.169
107.197,0.169
107.166,0.168
107.029,0.168
106.894,0.167
106.777,0.167
106.677,0.166
106.579,0.165
106.634,0.165
106.691,0.164
106.681,0.164
106.605,0.163
106.53,0.162
106.6,0.162
106.671,0.161
106.664,0.161
106.581,0.16
106.498,0.159
106.528,0.159
106.559,0.158
106.622,0.158
106.719,0.157
106.817,0.156
106.863,0.156
106.909,0.155
106.863,0.155
106.724,0.154
106.587,0.153
106.531,0.153
106.475,0.152
106.42,0.152
106.365,0.151
106.312,0.151
106.494,0.15
106.681,0.149
106.788,0.149
106.813,0.148
106.839,0.147
106.869,0.147
106.898,0.146
106.982,0.146
107.12,0.145
107.26,0.144
107.174,0.144
107.087,0.143
106.991,0.143
106.887,0.142
106.783,0.142
106.873,0.141
106.963,0.14
106.959,0.14
106.86,0.139
106.761,0.139
106.618,0.138
106.476,0.138
106.387,0.137
106.347,0.137
106.308,0.136
106.292,0.136
106.275,0.135
106.221,0.134
106.13,0.134
106.04,0.133
106.023,0.133
106.006,0.132
105.937,0.132
105.817,0.131
105.698,0.131
105.818,0.13
105.939,0.129
106.002,0.129
106.006,0.128
106.009,0.128
106.033,0.127
106.057,0.127
106.127,0.126
106.245,0.125
106.363,0.125
106.229,0.124
106.095,0.124
106.018,0.123
105.997,0.123
105.976,0.122
105.998,0.122
106.02,0.121
106.044,0.12
106.071,0.12
106.098,0.119
105.954,0.119
105.811,0.118
105.728,0.118
105.704,0.117
105.68,0.117
105.725,0.116
105.769,0.115
105.779,0.115
105.754,0.114
105.728,0.114
105.78,0.113
105.832,0.113
105.823,0.112
105.754,0.112
105.684,0.111
105.692,0.111
105.7,0.11
105.731,0.109
105.786,0.109
105.84,0.108
105.798,0.108
105.755,0.107
105.712,0.107
105.671,0.106
105.629,0.106
105.548,0.105
105.466,0.104
105.449,0.104
105.498,0.103
105.547,0.103
105.524,0.102
105.501,0.102
105.514,0.101
105.565,0.101
105.614,0.1
105.408,0.099
105.203,0.099
105.027,0.099
104.881,0.098
104.735,0.098
104.731,0.097
104.726,0.097
104.532,0.096
104.157,0.096
103.795,0.095
103.623,0.095
103.453,0.095
103.339,0.094
103.28,0.094
103.22,0.093
103.212,0.093
103.203,0.092
103.174,0.091
103.123,0.091
103.071,0.09
102.902,0.09
102.734,0.09
102.606,0.089
102.516,0.089
102.426,0.088
102.373,0.088
102.319,0.087
102.26,0.087
102.194,0.086
102.127,0.086
102.127,0.085
102.126,0.084
102.055,0.084
101.917,0.084
101.779,0.083
101.717,0.083
101.653,0.082
101.606,0.082
101.575,0.081
101.543,0.081
101.397,0.08
101.252,0.08
101.175,0.079
101.165,0.079
101.153,0.078
101.21,0.077
101.267,0.077
101.186,0.076
100.971,0.076
100.759,0.076
100.661,0.075
100.562,0.075
100.404,0.074
100.192,0.074
99.983,0.074
99.943,0.073
99.901,0.073
99.796,0.072
99.63,0.072
99.466,0.071
99.336,0.071
99.206,0.071
99.043,0.07
98.848,0.07
98.656,0.07
98.59,0.069
98.523,0.069
98.463,0.068
98.41,0.068
98.356,0.067
98.239,0.067
98.123,0.066
98.005,0.066
97.887,0.066
97.768,0.065
97.619,0.065
97.472,0.065
97.306,0.064
97.125,0.064
96.947,0.064
96.803,0.063
96.661,0.063
96.52,0.063
96.382,0.063
96.245,0.062
96.146,0.062
96.046,0.062
95.939,0.061
95.824,0.061
95.711,0.061
95.585,0.06
95.46,0.06
95.361,0.06
95.287,0.059
95.212,0.059
95.096,0.059
94.981,0.058
94.864,0.058
94.746,0.058
94.629,0.058
94.569,0.057
94.508,0.057
94.414,0.056
94.291,0.056
94.17,0.056
94.084,0.056
93.998,0.056
93.912,0.055
93.827,0.055
93.742,0.055
93.649,0.054
93.557,0.054
93.475,0.054
93.401,0.054
93.328,0.053
93.242,0.053
93.158,0.053
93.065,0.053
92.967,0.052
92.872,0.052
92.789,0.052
92.707,0.052
92.63,0.052
92.557,0.052
92.485,0.051
# Event SIMULATION_END occurred at t=17.02 seconds
